Teams,M,W,L,N/R,PT,NRR,Series Form,For,Against,season
Sudur Paschim Royals,7,6,1,0,12,2.087,WLWWW,1048/135.2,792/140.0,2024
Janakpur Bolts,7,5,2,0,10,0.164,WWLWL,855/123.4,945/140.0,2024
Chitwan Rhinos,7,4,3,0,8,0.634,LWLLW,1013/137.1,944/139.5,2024
Karnali Yaks,7,4,3,0,8,-0.184,WWWWL,890/134.5,882/130.0,2024
Kathmandu Gurkhas,7,4,3,0,8,-0.321,LWLWW,824/131.5,874/133.0,2024
Biratnagar Kings,7,2,5,0,4,-0.703,WLLWL,975/139.5,1026/133.4,2024
Pokhara Avengers,7,2,5,0,4,-1.332,WLWLL,916/136.5,1014/126.2,2024
Lumbini Lions,7,1,6,0,2,-0.498,LLWLL,1013/140.0,1057/136.4,2024
