Teams,M,W,L,N/R,PT,NRR,Series Form,For,Against
1Sudur Paschim Royals (NPL),7,6,1,0,12,2.087,WLWWW,1048/135.2,792/140.0
2Janakpur Bolts (NPL),7,5,2,0,10,0.164,WWLWL,855/123.4,945/140.0
3Chitwan Rhinos (NPL),7,4,3,0,8,0.634,LWLLW,1013/137.1,944/139.5
4Karnali Yaks (NPL),7,4,3,0,8,-0.184,WWWWL,890/134.5,882/130.0
5Kathmandu Gurkhas (NPL),7,4,3,0,8,-0.321,LWLWW,824/131.5,874/133.0
6Biratnagar Kings (NPL),7,2,5,0,4,-0.703,WLLWL,975/139.5,1026/133.4
7Pokhara Avengers (NPL),7,2,5,0,4,-1.332,WLWLL,916/136.5,1014/126.2
8Lumbini Lions (NPL),7,1,6,0,2,-0.498,LLWLL,1013/140.0,1057/136.4
